,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
60,,,G," XIII. Goblets (nos. 60, 61). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class XIV; ‰Û÷Copper",,"60. Sk. ‰Ûª13‰ÛÓ173; Block G; sq. 108å¡62‰Ûª; stratum II. Standard goblet of micaceous schist, decorated in low relief with band of quatrefoil rosettes between dog-tooth borders, and with lotus leaves below, springing upwards from the stem. Height 6-12 in. Damaged on one side and at foot. Cf. p. 168 supra; A.S.R. (1912), P1. XXX, d. (Pls. 141,j; 143, o.)",,Sk,2,1913,25
61,14,58,," XIII. Goblets (nos. 60, 61). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class XIV; ‰Û÷Copper","14,58","61. Sk. ‰Ûª16‰ÛÓ846; Second Street (east); sq. 14- 58‰Ûª; stratum II. Similar, of grey schist, with three-stepped base and plain stem; body decorated with three bands of triple incised lines. Height 4-62 in. (P13. 141, k; 143, t.) CH. 25] STONE OBJECTS 493 Nearly all the articles under this head belong to the class of round toilet-trays usually divided into two or more compartments and embellished with •Âgures or scenes sculptured in relief. Besides this impOrtant series of toilet‰ÛÓtrays there are a few miniature trays of rock-crystal, emanating from the Bhir Mound, which in all probability were also meant for the toilet table, and a larger tray of hornblende micaceous schist from Sirkap, which was used no doubt for household purposes. Type a. Toilet-trays. The ornamental toilet‰ÛÓtrays are made of schist, steatite, indurated claystone, slate or phyllite. Of the thirty-three specimens described below, thirteen are of grey schist, eleven of micaceous schist, •Âve of steatite, two of indurated claystone, one of slate, and one of phyllite or phyllitic slate. No. 64, which is probably of the Saka period, is of steatite, but with this exception all of pre‰ÛÓParthian date are of schist. The subjects portrayed in these toilet-trays are not numerous. They comprise the followmg: Subject No. of specimens (1) ‰Û÷Satyr and nymph . . . . . . . . . . I (2) Figure reclining on couch attended by femalesI 2 (3) Drinking and dancing scenes . . . . . . . . 2 (4) Pair of •Âgures (male and female) holding drinking-cups . 5 (5) Lions, leogryphs, winged stag, hippocamps and other •Âsh-tailed monsters with riders . . . . . . . . . . . 6 (6) Ditto, without riders . . . . . . . . . . I4 (7) Geometric and •Ââoral designs . . . . . . . . 3 Most of these subjects are clearly Hellenistic, and there can be no doubt that this kind of toilet-tray was introduced with Hellenistic culture from the West, where specimens of them have been found, especially in Egypt.2 Local Indian in•Ââuence, however, is to be seen in the lotus rosettes or leaves used as a background for many of the reliefs, in the makam-like treatment of some of the sea-monsters, and possibly also in the pairs of •Âgures holding drinking‰ÛÓcups, though, as to the last, it is perhaps more likely that this motif, so familiar in the early Mathura School, may also have had a Hellenistic origin. In point of style no. 62, which comes from the Graeco-Bactrian city, has a distinctive character of its own, which apart from its place of •Ânding would justify us in assigning it to the second century B.C. Instead of this tray being divided up, as nearly all the later examples are, into two or more compartments, the two •Âgures occupy the centre of the •Âeld and stand out with effective simplicity against the plain background. The •Âgures themselves are treated almost as if they were in the round, rather than in relief,3 and the modelling of their forms, albeit sketchy, ‰Û÷ The same subject is also represented on the lid of the vessel no. 106 infra. 2 E.g. Flinders Petrie, Objects of Daily Use, Pl. XXXIV, nos. 23‰ÛÓ31. 3 This characteristic of most Hellenistic relief work is shared also by the reliefs round the abacus of the Asoka capital at Sarnath, which, as I have shown elsewhere, was executed by a Greek or a Perso-Greek artist of the third century B.C. Cf. C.H.I. vol. I, p. 621, and Marshall and Foucher, The Monuments of S•Â•Âchi, pp. 87, 88. MT 63 494 STONE OBJECTS [CH. 25 is more conscientious than in the later trays. There is a certain distinctiveness, also, about the style of no. 63, which dates probably from the •Ârst century B.C. and re•Ââects the increasing decadence of Hellenistic art under Saka rule. The scene is of course a purely Greek one, and, although the •Âgures individually are crudely modelled and stiff and wooden in their poses, their composition still re•Ââects the older Hellenistic tradition. In no. 65, on the other hand, we recognise the effect of the Graeco‰ÛÓ Roman art popularised at Taxila under Parthian rule, with its more crowded •Âgures, and much greater freedom of composition and drawing; and we are on quite safe ground in referring to the same century (•Ârst century A.D.) nos. 64, 66 and 76. But, apart from these few specimens, it is di•Ââicult to determine the respective ages of these toilet-trays on the strength of their style alone. This dif•Âculty arises from the fact that, with the passing of the Bactrian Greeks and coming of the Sakas, Hellenistic art in India rapidly declined, but revived again in the •Ârst century under the rule of the Parthians, and though in the interim Hellenistic art in Western Asia had to some extent been Romanised and undergone considerable changes in consequence, nevertheless it is often impossible to determine whether a particular example of debased Indo-Hellenistic work was executed before or after the Parthian revival. And this is true not only of these stone carvings but of other branches of art as well. To be sure, the Indianised treatment of the couple in no. 70, so strongly reminiscent of the Mathura School, enables us to relegate this particular piece with con•Âdence to Parthian times, but it is not often that we get such light from the Indian side. Take, for example, nos. 78, 79 and 82. We infer from their •Ândspots that they probably belong to the Saka period, but from their style alone it would be impossible, in the present state of our knowledge, to af•Ârm that they were not strays from the Parthian level above. In regard to Graeco-Roman toilet-trays from Egypt, a paper by Sir John Evans in P706. Soc. Antiq. (13 Feb. 1908) may be consulted, and also Flinders Petrie, Objects of Daily Use, ch. X, pp. 37‰ÛÓ9, where he summarises whatever had then (1927) been published about these trays, their types and purpose.",,Sk,2,1916,25
62,35,89,B, XIV. Trays (nos. 62‰ÛÓ97),"35,89","62. Sk. ‰Ûª29‰ÛÓI,894; Block B‰Ûª; sq. 3 5-89‰Ûª; stratum IV. Circular toilet-tray of •Âne grey schist. Diam. 431 in. Round top of rim, beaded border, encircled by running spiral. In centre, erotic scene: to left, standing male •Âgure, with hooded mantle over back; to right, kneeling woman clad in himation or shawl, which her companion is pulling from her. Beneath them, triple line of small rocks with larger rock on extreme right, which the woman holds with her left hand. On back of tray, full-blown lotus in low relief. This is a familiar scene in Greek art, the two •Âgures being usually a satyr and a nymph, e.g. Brit. Mus. Sculpture Cat. no. 2202: a marble relief representing a bearded satyr pulling aside the mantle of a nymph. Cf. Baumeister, Denkmaeler, vol. III, p. I564, and S. Reinach, Re‰Ûªpertoire des peintures grecques et romaines, p. 125, no. 9. The •Âgures are in high relief on a plain ground; the modelling is characteristic of the Hellenistic age and superior to that of any of the other toilet-trays. (Pl. 144, no. 62.)",144-62,Sk,4,1929,25
63,15,981,A, XIV. Trays (nos. 62‰ÛÓ97),"15,981","63. Sk. ‰Ûª29‰ÛÓ2, 572; Block A‰Ûª; sq. 15'981; stratum V. Toilet‰ÛÓtray of grey schist, divided into two registers. Diam. 5.31 in. In thenipper register, a draped male •Âgure reclining on couch, with wine-cup in left hand. At head of couch, a draped female seated on stool, with awine-cup in left hand. Behind the couch, a second female, standing, with garland in upraised right hand. CH. 25] STONE OBJECTS 495 The •Âgures are clad in the Greek chitou and himation. In the lower register, seven lines sug- gestive of a palniette. On rim, beaded border in low relief. This toilet‰ÛÓtray is referable to the •Ârst century B.C., when Hellenistic art was becoming barbarised under the rule of the Sakas. Observe that the •Âgures in this scene are more widely spaced than in the later Parthian reliefs, in this respect being nearer to the Hellenistic tradition, in spite of their stiff and rigid formality. The wig‰ÛÓlike treatment of the hair and the wide‰ÛÓopen, prominent eyes are peculiarly characteristic of nascent Gandhara sculpture during the late Saka period. These traits are well exempli•Âed also in nos. 70, 74 and 75, and in ‰Û÷Stone Sculptures‰Ûª, ch. 36, nos. 3, 4, 12, 13, etc. Cf. p. 693 infra. For Yavanas reclining on couches as they eat or drink, see Schol. on Panini, cited by S. Levy, Quid de Graecz's, p. 22. (Pl. 144, no. 63.)",144-63,Sk,5,1929,25
64,85,90,F, XIV. Trays (nos. 62‰ÛÓ97),"85,90","64. Sk. ‰Ûª28‰ÛÓ1,486; Block F‰Ûª; sq. 85-90‰Ûª; stratum II. Half of a broken toilet-tray of yellowish brown steatite (soapstone), divided into two registers. Diam. 4-12 in. In the upper register, man reclining on bed and kissing woman, who is seated on stool by his side. On rim, four concentric circles. Two small holes drilled near centre and in rim appear to have served for rivets, when the tray was mended in old days. On the back is an inscription in Kharoshthi: (along the edge) Thireasa tritavi(na) mudrao Ums'e Arya‰ÛÓRo. . .; (in the middle) Thiraka. Cf. p. 182 supra; A.S.R. (1928), P1. XX, II and p. 57, no. 56. (Pl. 144, no. 64.)",144-64,Sk,2,1928,25
65,85,89,F, XIV. Trays (nos. 62‰ÛÓ97),"85,89","65. Sk. ‰Ûª28‰ÛÓ1,776; Block F‰Ûª; sq. 85-89‰Ûª; stratl‰Û÷Im II. Toilet-tray of greenish grey steatite (soapstone). Diam. 662 in. On rim, border of double arcading, incised. In centre, drinking scene.I Although the scene is a composite Whole, •Âlling virtually the entire •Âeld, it is divided by convention into three tiers separated one from the other by projecting •Ââoors, so that the •Âgures in the upper and middle parts of the •Âeld may have something on which to rest their feet. In the top register, in centre, a man and woman are seated on a bench, the former clasping his companion with his left arm and holding a sceptre with his right, while she offers him a cup of wine. To left of them, a woman seated and draped, playing on a lyre; and, behind her, a youth playing on the Pan-pipes; to right, a standing male •Âgure with his right hand wrapped in his mantle and his left holding a staff. In the middle register, to right, a large wine-vat, rising from acanthus leaves, in Which two men, one on the back of the other, are treading the grapes, while a lad, in the centre, draws off the juice in a tall •Ââagon (\‰Û÷J-rro7x•Âv10v). To the left, another man is carrying a wine-skin on his back and emptying its contents into a kmter, while his companion on the left of the vase is raising a bowl to his lips. Below, in the bottom register, two •Âgures are lying drunk. Framing the top of the scene from side to side is an undulating vine. The back of the plaque is relieved with concentric bands, both incised and in relief. Cf. A.S.R. (1928), P1. XIX, I and p. 56, no. 55. The style is typical of Hellenistic art of the •Ârst century A.D., and the relief is reminiscent of the ‰Û÷Wedding of Ariadne and Bacchus ‰Ûª‰ÛÓ-a familiar scene in Graeco-Roman art. 'Cf. Dar. et Sag. II, p. 421; p. 182 supra. (Pl. 144, no. 65.)",144-65,Sk,,1928,25
66,,,G, XIV. Trays (nos. 62‰ÛÓ97),,"66. Sk. ‰Ûª12~814; Block G; sq. 108å¡63‰Ûª; stratum I. Circular toilet-tray of indurated light grey claystone, divided by partition into two registers. Diam. 5-2 5 in. In the upper register is a man dancing with two women, one on either side. The lower compartment is empty. On the rim, two concentric circles incised; on partition, short parallel lines. Of Parthian period; •Ârst century AD. Cf. p. 168 supra; A.S.R. (1912), P1. XXIX, b and p. 32, no. 1. (P1. 144, no. 66.)",144-66,Sk,1,1912,25
67,,,B, XIV. Trays (nos. 62‰ÛÓ97),,"67. Sk. ‰Ûª28‰ÛÓ63 5; Block B‰Ûª; sq. 34å¡92‰Ûª; stratum III. Toilet-tray of greyschist (diam. 362 in.), divided into three compartments, with lotus rosette in background of all three. In upper compartment, upper halves of two draped •Âgures holding wine‰ÛÓcups. On rim, toothed border; on partitions, diagonal lines incised. The workmanship is very rough, as if done by a wood- carver. Cf. p. 194 supra. (P1. 144, no. 67.) 68. Sk. ‰Ûª28‰ÛÓ2,1 59; Block F‰Ûª; sq. 90å¡84‰Ûª; stratum II. Toilet-tray of micaceous schist, divided I Drinking and banquet scenes, it may be remarked, were favourite subjects of Parthian art. Cf. C.A.H. XI, p. 129. 63‰ÛÓ2 496 STONE OBJECTS [CH. 25 into nine sunk compartments. Diam. 5-12 in. In centre are buSts of male and female •Âgures with wine-cups in their hands. Both wear necklaces. In each of the four corner compartments is a quatrefoil rosette. On the rim is a border of incised network, and on the back an incised lotus design. Cf. p. 182 supra; A.S.R. (1928), Pl. XX, 6 and p. 57, no. 60. (P1. 144, no. 68.)","144-67, 144-68",Sk,3,1928,25
69,28,116,B, XIV. Trays (nos. 62‰ÛÓ97),"28,116","69. Sk. ‰Ûª19‰ÛÓ69 5; Block B‰Ûª; sq. 28-116‰Ûª; stratum II. Toilet-tray of grey schist, divided into three compartments. Diam. 4-12 in. In the top compartment are the busts of a male and a female holding wine-cups in their hands. Behind them, half lotus rosette. On the rim is a network pattern incised; and on the partitions, toothed and cable beadings. On back, incised eight-petalled lotus. Cf. p. 194 supra. (Pl. 144, no. 69.) 7o. Sk. ‰Ûª2o‰ÛÓ‰ÛÓ763; Block D'; sq. 57-92'; stratum I. Toilet-tray of grey schist divided into three compartments. Diam. 6-86 in. In the upper half are •Âgured, in relief, a male and a female, three-quarter length, holding wine‰ÛÓcups in their hands. Both wear necklaces and the woman has a shawl (sari) about her head and shoulders. On the rim is a double‰ÛÓcable border; on the partitions, a dotted cross pattern. The Indianised character of the •Âgures and the concise quality of the carving point to the in•Ââuence of the Mathura School. Cf. p. 190 supra. (P1. 144, no. 70.) .","144-69, 144-70",Sk,2,1919,25
71,105,89,G, XIV. Trays (nos. 62‰ÛÓ97),"105,89","71. Sk. ‰Ûª29‰ÛÓ2,285; Block G'; sq. 105-89‰Ûª; stratum II. Fragment of a grey schist toilet-tray or perhaps the lid of a vessel, divided by radii into eight compartments, with lotus rosette in centre. Length 626 in. Each compartment contains a pair of •Âgures, male and female, standing with wine‰ÛÓcups in their hands. Network and toothed borders on rim and partitions. Cf. p. 181 supra. (Pl. 144, no. 71.)",144-71,Sk,2,1929,25
72,107,46,G, XIV. Trays (nos. 62‰ÛÓ97),"107,46","72. Sk. ‰Ûª26‰ÛÓ2,367; Block G; sq. 107-46‰Ûª; stratum I. Broken toilet-tray of claystone, divided into two compartments. Diam. 4- 5 in. In upper compartment, lion, with rider seated sideways, moving to right among rocks. In exergue, chequer pattern. Beaded border on rim and partition. Cf. p. 169 supra. (P1. 144, no. 72.) _",144-72,Sk,1,1926,25
73,77,90,E, XIV. Trays (nos. 62‰ÛÓ97),"77,90","73. Sk. ‰Ûª27‰ÛÓ501; Block E‰Ûª; sq. 77-90‰Ûª; stratum II. Toilet-tray of slate, divided into two compartments. Diam. 6 in. In upper compartment, to left, winged stag ridden by winged rider. To right, goat in foreground; winged lion behind. On rim, double arcading. On partition, narrow vandyke pattern. The exergue is plain. The style is unusual and appears to betray a certain measure of Indian in•Ââuence. Cf. p. 184 supra. (P1. 145, no. 73.)",145-73,Sk,2,1927,25
